country,iso_num
USA,840
UK,826
Australia,036
France,250
Spain,724
Mexico,484
Brazil,076
Germany,276
Italy,380
Netherlands,528
Russia,643
Ukraine,804
China,156
Singapore,702
Japan,392
South Korea,410
India,356
Bangladesh,050
Pakistan,586
UAE,784
Saudi Arabia,682
Egypt,818
Morocco,504
Israel,376
Turkey,792
Thailand,764
Vietnam,704
Indonesia,360
Malaysia,458
Myanmar,104
Cambodia,116
Ethiopia,231
Kenya,404
Tanzania,834
Nigeria,566
South Africa,710
Eritrea,232
Nepal,524
Sri Lanka,144
Georgia,268
Armenia,051
Poland,616
Czech Republic,203
Hungary,348
Finland,246
